id,title,artist,tags
1,Breakfast in Paris,Alex Productions,"calm, peace"
2,Evening Improvisation,Spheria,"calm, peace"
3,Heartbreaking,Kevin MacLeod,"calm, peace, sad"
4,Lost and Found,Purple Cat,"calm, peace"
5,Memories of Spring,Tokyo Music Walker,"calm, peace"
6,Moon Dock,Verbovets,"calm, peace"
7,Old oak,Olexy,"calm, peace"
8,Sleepless,Purple Cat,"calm, peace,lofi"
9,Sunset Landscape,Keys of Moon,"calm, peace"
10,Valentines Day,Alex Productions,"calm, peace"
11,Winter,Alex Productions,"calm, peace"
12,Barradeen Bedtime,Purple Cat,"happy, excited"
13,BossaBossa,Kevin MacLeod,"happy, excited"
14,Feel Good,MusicbyAden,"happy, excited"
15,Departure,Ghostrifter,"happy, excited, chill, lofi"
16,Purple Dream,Ghostrifter,"happy, excited, chill, lofi"
17,Subtle Break,Ghostrifter,"happy, excited, chill, lofi"
18,Heart of the Ocean,Purple Cat,"happy, excited, chill, lofi"
19,Kugelblitz,Purple Cat,"happy, excited, chill, lofi"
20,Morning Routine,Ghostrifter,"happy, excited, chill, lofi"
21,On My Way,Ghostrifter,"happy, excited, chill, lofi"
22,Birds Singing In A Forest,Chosic,"calm, nature, sounds"
23,Counrtyside,Purple Cat,"calm, nature, sounds"
24,Happy Birds Singing,Chosic,"calm, nature, sounds"
25,Forest Wind In Trees,Sound Effects,"calm, nature, sounds"
26,Calm Ocean Waves,Chosic,"calm, nature, sounds"
27,Star Bright,Purple Cat,"calm, nature, sounds"
28,Rain,Chosic,"calm, nature, sounds"
29,Thunder Growling,Sound Effects,"calm, nature, sounds"
30,After The Rain,Keys of Moon,"sad, emotional"
31,Cinematic Piano,Alex Productions,"sad, emotional"
32,A Time Forgotten,Darren Curtis,"sad, emotional"
33,Autumn Scene,Keys of Moon,"sad, emotional"
34,Desert,Alex Productions,"sad, emotional"
35,Don't Forget Me,Spheria,"sad, emotional"
36,Hydrangeas,Piano Amor,"sad, emotional"
37,One Love,Keys of Moon,"sad, emotional"
38,Floating Castle,Purple Cat,"sad, emotional"
39,Moonlight,Scott Buckley,"sad, emotional"
40,Glimpse Of Eternity,Meydan,"spiritual, peace"
41,Caligaverunt Victoria,Anonymous Choir,"spiritual, peace"
42,Aqua Euphoria,Spheria,"spiritual, peace"
43,Arcadia,Kevin MacLeod,"spiritual, peace"
44,Journey Of Your Spirit,Spheria,"spiritual, peace"
45,Lemurian Shores,Spheria,"spiritual, peace"
46,Leviathan's Dream,Spheria,"spiritual, peace"
47,Silent Night,Mystry Mammal,"spiritual, peace"
48,Rain On My Soul,Spheria,"spiritual, peace"
49,Sea Of Thoughts,Spheria,"spiritual, peace"
50,Spa Relax,Alex Productions,"spiritual, peace"
51,Winter Spa,Alex Productions,"spiritual, peace"
52,Done With Work,Fesliyan Studios,"chill, lofi"
53,Looking Up,Fesliyan Studios,"chill, lofi"
54,Mellow Thoughts,Fesliyan Studios,"chill, lofi"
55,Vibes,Fesliyan Studios,"chill, lofi"
56,Falling Snow,Aakash Gandhi,"instrumental, pleasent"
57,Heavenly,Aakash Gandhi,"instrumental, pleasent"
58,Kiss The Sky,Aakash Gandhi,"instrumental, pleasent"
59,Lifting Dreams,Aakash Gandhi,"instrumental, pleasent"
60,Grief And Emptiness,Fesliyan Studios,instrumental
61,Simple Sonata,Sir Cubworth,instrumental
62,Wistful Harp,Chosic,instrumental
